Acciones,Código solicitud,Código unico,Estado operación,Departamento,Municipio,Fecha aprobación,Dirección,Autoridad de tránsito,Jurisdicción,Infracciones,Velocidad,Tipo de tecnología,Tipo de instalación,Nombre equipo,Latitud,Longitud,Código equipo,Resolución de renovación,Fecha radicación de renovación,Fecha de notificación,Fecha de recurso,Fecha resolución de recurso,Fecha de aprobación final,Fecha finalización de prórroga,Fecha inicio de operación,Fecha finalización inicial
,SOL0000003562,CU000000000533,Renovada - Expirada,VALLE DEL CAUCA,SAN PEDRO,13/02/2021,Troncal de Occidente Km 83+600 MUNICIPIO DE SAN PEDR VALLE DEL CAUCA,SECRETARÍA DE MOVILIDAD Y TRANSPORTE DEL VALLE DEL CAUCA - GOBERNACIÓN DEL VALLE,Departamental,"C.26, C.29, C.35, D.2",None,Radar Doppler,Móvil,0X00031753,4.009215,-76.223208,,,12/12/2025,,,,,,,12/02/2026
,SOL0000003544,CU000000000530,Renovada - Expirada,VALLE DEL CAUCA,SAN PEDRO,12/02/2021,Troncal de Occidente Km 83+600,SECRETARÍA DE MOVILIDAD Y TRANSPORTE DEL VALLE DEL CAUCA - GOBERNACIÓN DEL VALLE,Departamental,"C.26, C.29, C.35, D.2",None,Radar Doppler,Móvil,0X00031748,4.009318,-76.223496,,,12/12/2025,,,,,,,11/02/2026
,SOL0000002641,CU000000000516,Prorrogada - Vencida,CESAR,SAN ALBERTO,10/11/2020,"Vía San Alberto - La Mata, Ruta 4514 PR 3+935",INSTITUTO DEPARTAMENTAL DE TRANSITO DEL CESAR,Nacional,"C.24, C.29, C.35, D.10, D.2",None,Radar Doppler,Fijo,C2,7.804725,-73.412052,,106,22/11/2025,03/02/2026,,,,17/02/2026,,09/11/2025
,SOL0000002623,CU000000000515,Prorrogada - Vencida,CESAR,SAN ALBERTO,10/11/2020,"Vía San Alberto - La Mata, Ruta 4514 PR 1+499",INSTITUTO DEPARTAMENTAL DE TRANSITO DEL CESAR,Nacional,"C.24, C.29, C.35, D.10, D.2",None,Radar Doppler,Fijo,C1,7.784671,-73.401922,,086,22/11/2025,28/01/2026,,,,11/02/2026,,09/11/2025
,SOL0000003543,CU000000000528,Prorrogada - Vencida,VALLE DEL CAUCA,SAN PEDRO,12/02/2021,Troncal de Occidente Km 80+600 Municipio San pedro Valle del Cauca (SEDE OPERATIVA BUGALAGRANDE),SECRETARÍA DE MOVILIDAD Y TRANSPORTE DEL VALLE DEL CAUCA - GOBERNACIÓN DEL VALLE,Departamental,"C.26, C.29, C.35, D.2",None,Radar Doppler,Móvil,0X00030819,3.986661,-76.237873,,138,24/10/2025,16/02/2026,,,,02/03/2026,,11/02/2026
,SOL0000003541,CU000000000529,Prorrogada - Vencida,VALLE DEL CAUCA,SAN PEDRO,12/02/2021,Troncal de Occidente Km 77+600 Municipio de San Pedro (Sede Operativa de Bugalagrande),SECRETARÍA DE MOVILIDAD Y TRANSPORTE DEL VALLE DEL CAUCA - GOBERNACIÓN DEL VALLE,Departamental,"C.26, C.29, C.35, D.2",None,Radar Doppler,Móvil,0X00030819,3.968256,-76.258023,,108,15/10/2025,05/02/2026,,,,19/02/2026,,11/02/2026
,SOL0000003561,CU000000000532,Prorrogada - Vencida,VALLE DEL CAUCA,SAN PEDRO,12/02/2021,Troncal de Occidente Km 81+730,SECRETARÍA DE MOVILIDAD Y TRANSPORTE DEL VALLE DEL CAUCA - GOBERNACIÓN DEL VALLE,Departamental,"C.26, C.29, C.35, D.2",None,Radar Doppler,Móvil,0X0003080E,3.99503,-76.232646,,078,13/10/2025,04/02/2026,,,,18/02/2026,,11/02/2026
,SOL0000003542,CU000000000531,Prorrogada - Vencida,VALLE DEL CAUCA,SAN PEDRO,12/02/2021,Troncal de Occidente Km 79+090 Municipio de San pedro Valle del cauca sede operativa bugalagrande,SECRETARÍA DE MOVILIDAD Y TRANSPORTE DEL VALLE DEL CAUCA - GOBERNACIÓN DEL VALLE,Departamental,"C.26, C.29, C.35, D.2",None,Radar Doppler,Móvil,0X0003080E,3.976462,-76.246956,,088,10/10/2025,04/02/2026,,,,18/02/2026,,11/02/2026
,SOL0000003521,CU000000000522,Prorrogada - Vencida,ANTIOQUIA,BELLO,02/12/2020,Autopista Norte - KM 6+267  SENTIDO OCCIDENTE - ORIENTE,SECRETARÍA DE MOVILIDAD DE BELLO,Municipal,"C.29, C.35, D.2",None,Lazo Inductivo de Piso (Espiras),Fijo,NORTE2,6.347316,-75.520632,,064,02/10/2025,26/01/2026,06/02/2026,28/04/2026,,28/04/2026,,01/12/2025
,SOL0000003501,CU000000000519,Prorrogada - Vencida,ANTIOQUIA,BELLO,02/12/2020,Autopista Norte - KM 6+250 SENTIDO ORIENTE - OCCIDENTE,SECRETARÍA DE MOVILIDAD DE BELLO,Municipal,"C.29, C.35, D.2",None,Lazo Inductivo de Piso (Espiras),Fijo,AUTONORTE1,6.347307,-75.520812,,064,02/10/2025,26/01/2026,06/02/2026,28/04/2026,,28/04/2026,,01/12/2025
,SOL0000003301,CU000000000521,Renovada - Expirada,MAGDALENA,FUNDACION,02/12/2020,VIA NACIONAL TRONCAL DEL CARIBE RUTA 4518 PR 15 + 200,ENTIDAD DESCENTRALIZADA – INSTITUTO MUNICIPAL DE TRANSITO Y TRANSPORTE “INTRASFUN”,Municipal,"C.29, C.35, D.2, D.6, D.7",None,Video Detección (Con Analítica de Video),Móvil,CHRONOS3D,10.366808,-74.087858,,014,21/09/2025,13/01/2026,,,28/01/2026,,,01/12/2025
,SOL0000003522,CU000000000518,Renovada - Expirada,ANTIOQUIA,BELLO,02/12/2020,CARRERA 47 X CALLE 55 SENTIDO ORIENTE - OCCIDENTE,SECRETARÍA DE MOVILIDAD DE BELLO,Municipal,"C.14, C.29, C.32, C.35, D.2, D.4",None,Lazo Inductivo de Piso (Espiras),Fijo,PRADO1,6.33871,-75.556381,,1407,20/09/2025,18/12/2025,,,05/01/2026,,,01/12/2025
,SOL0000003041,CU000000000480,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Av. Boyacá  X Cl 169 B,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI30CAM01,4.752992,-74.065368,,837,18/03/2025,11/07/2025,,,25/07/2025,,,27/03/2025
,SOL0000003041,CU000000000483,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Av.Americas X  Cra. 70 B,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Video Detección (Con Analítica de Video),Fijo,DEI39CAM01,4.62979,-74.133246,,825,18/03/2025,11/07/2025,,,25/07/2025,,,27/03/2025
,SOL0000003041,CU000000000484,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Av. Boyacá  X Cl 169 B,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI30CAM02,4.752997,-74.065277,,837,18/03/2025,11/07/2025,,,25/07/2025,,,27/03/2025
,SOL0000003041,CU000000000184,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Av.Americas X  Cra. 70 B,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Video Detección (Con Analítica de Video),Fijo,DEI39CAM02,4.630167,-74.133241,,825,18/03/2025,11/07/2025,,,25/07/2025,,,27/03/2025
,SOL0000003041,CU000000000482,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Autopista Sur X Cl 59 Sur,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI38CAM01,4.596582,-74.175915,,827,18/03/2025,11/07/2025,,,25/07/2025,,,27/03/2025
,SOL0000003041,CU000000000477,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,Autopista Sur X Cl 59 Sur,SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI38CAM02,4.596834,-74.17482,,827,18/03/2025,11/07/2025,,,25/07/2025,,,27/03/2025
,SOL0000003041,CU000000000501,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AV CR 9 - CL 113 (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI34CAM02,4.692432,-74.035246,,794,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
,SOL0000003041,CU000000000497,Renovada - Expirada,BOGOTA D.C,BOGOTA D.C,28/03/2020,AU. NORTE - CL 127 (S-N),SECRETARIA DISTRITAL DE MOVILIDAD,Distrital,"C.14, C.29, C.35, D.2",None,Radar Doppler,Fijo,DEI36CAM04,4.709357,-74.053075,,816,18/03/2025,09/07/2025,,,23/07/2025,,,27/03/2025
