id,name,orig_name,longitude,latitude
1,Queens Bv b/t 58 St and 53 St,WB QUEENS BV 58 ST -53 ST,-73.90971379999999,40.74218429999999
2,EB Hylan Bv at Tysens Ln,EB HYLAN BLVD @ TYSENS LN,-74.1164256,40.56394270000001
3,Queens Bv b/t 58 St and 53 St,EB QUEENS BV 53 ST -58 ST,-73.90971379999999,40.74218429999999
4,NB Woodhaven Blvd at 62nd Rd,NB WOODHAVEN BLVD @62ND RD,-73.8703001,40.726162
5,SB Woodhaven Bv at Furmanville Av,SB WOODHAVEN BLVD @FURMANVILLE AVE,-73.86545149999999,40.72034350000001
6,EB Hylan Bv at Burbank Av,EB HYLAN BLVD @ BURBANK AVE,-74.10810769999999,40.5721711
7,WB 4th Av at 41 St,WB 4TH AVE @ 41ST ST,-74.0074135,40.6515499
8,Ralph Av b/t Snyder Av and Clarendon Rd,SB RALPH AVE CLARENDON RD - SNYDER AV,-73.9202922,40.647855699999994
9,Queens Bv b/t 32 St and 39 St,EB QUEENS BV 32 ST -39 ST,-73.92937905000001,40.7443999
10,Pennsylvania Av b/t Twin Pines Dr E and Seaview Ave,SB PENNSYLVANIA AV TWINE PINES DR E - SE,-73.8823591,40.6484764
11,Kings Hwy b/t E 92 St and E 96 St,NB KINGS HWY E 92 ST- E 96 ST,-73.92072259999999,40.65810384999999
12,Soundview Av b/t Taylor Av and Lacombe Av,SB SOUNDVIEW AV TAYLOR AV - LACOMBE AV,-73.8609802,40.8164751
13,EB Metropolitan Av b/t Woodhaven Bv and 70 Av,EB METROPOLITAN AV WOODHAVEN BV - 70 AV,-73.856797,40.71138565
14,Midland Av b/t Hylan Bv and Freeborn St,NB MIDLAND AV FREEBORN ST - HYLAN BV,-74.0982008,40.5754076
15,Soundview Av b/t Lacombe Av and Beach Av,NB SOUNDVIEW AV LACOMBE AV - BEACH AV,-73.86151079999999,40.81697975
16,10 Av b/t W 201 St and Dyckman St,SB 10 AV W201 ST - DYCKMAN ST,-73.92219985,40.8599572
17,West End Av b/t W 84 St and W 81 St,NB WEST END AV W81 ST - W84 ST,-73.97952889999999,40.78662014999999
18,WB Northern Bv b/t 81 St and 78 St,WB NORTHERN BV 81 ST- 78 ST,-73.8876827,40.755317
19,Utica Av b/t Avenue J and Avenue I,NB UTICA AVENUE J -AVENUE I,-73.92800274999999,40.6293225
20,WB Victory Bv b/t Royal Oak Rd and Fairview Av,WB VICTORY BV ROYALOAK RD - FAIRVIEW AV,-74.11621219999999,40.61357875
21,SB Grand Concourse b/t E 184 St and E 180 St,SB GRAND CONCOURSE E184ST - E180 ST,-73.9008635,40.85648705
22,NB Edgecombe Av b/t W 163 St and W 166 St,NB EDGECOMBE AV W163ST - W166 ST,-73.9368753,40.83678549999999
23,EB Rockland Av b/t Cooper Ter and Borman Av,EB ROCKLAND AV COOPER TER. - BORMAN AV,-74.1572175,40.593653149999994
24,University Av b/t W Tremont Av and W Burnside Av,NB UNIVERSITY AV W TREMONT AV - W BURNSI,-73.91377435,40.852117449999994
25,McGuinness Bv b/t Driggs Av and Cayler St,NB MCGUINNES BV DRIGGS AV - CAYLER ST,-73.94895779999999,40.72587215
26,EB Flushing Av b/t N Elliott Pl and Carlton Av,EB FLUSHING AV N ELLIIOTT PL - CARLTON A,-73.97568605000001,40.6980818
27,WB Park Av b/t Washington Av and Vanderbilt Av,WB PARK AV WASHINGTON AV - VANDERBILT AV,-73.9689195,40.69605695
28,West End Av b/t W 79 St and W 82 St,NB WEST END AV W79 ST - W82 ST,-73.98047405,40.78533875
29,WB 34 Av b/t 81 St and 77 St,WB 34 AV. 81 ST - 77ST,-73.88781735,40.753443950000005
30,WB 32 Av b/t Clearview Expy and 200 St,WB 32 AV. CLEARVIEWEXPY - 200 ST,-73.78667755,40.770492250000004
31,WB 29 Av b/t Utopia Pkwy and 166 St,WB 29 AV. UTOPIA PKWY - 166 ST,-73.7955378,40.770653550000006
32,Linden Bv b/t Pennsylvania Av and Schenck Av,WB LINDEN BV  SCHENCK AV - PENNSYLVANIA,-73.8874391,40.660005299999995
33,EB Linden Bv b/t E 98 St and Thatford Av,EB LINDEN BV - E 98ST - THATFORD AV,-73.90789595,40.65470425
34,Northern Bv b/t 81 St and 77 St,WB NORTHERN BV. 81 ST - 77 ST,-73.88813795,40.75522485
35,Park Av b/t Carlton Av and Navy St,WB PARK AV CARLTON AV - NAVY ST,-73.97693665,40.696201650000006
36,Victory Bv b/t Fairview Av and Albert St,EB VICTORY BV FAIRVIEW AV - ALBERT ST,-74.11487125,40.613762699999995
37,Adam Clayton Powell Jr Bv b/t W 147 St and W 151 St,NB ADAM CLAYTN PWL JR BV W147 ST - W151,-73.9372975,40.8242306
38,EB Horace Harding Expy b/t Peck Av and Francs Lewis Bv,EB HORACE HRDNG EXPY. PECK AV - FRANCS L,-73.77896485,40.743135800000005
39,NB Coney Island Av b/t Avenue H and Ditmas Av,NB CONEY ISLAND AV AVENUE H - DITMAS AV,-73.9668227,40.632383149999995
40,New Dorp Ln b/t Hylan Bv and Weed Av,SB NEW DORP LN HYLANBV- WEED AV,-74.10684025,40.569020300000005
